meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,run_id
0.48445940963000894,0.31,0.32,0.37,0.01,0.245,0.055,0.37078824955609346,0.4528331223084605,0.5,0.76,0,baseline,0.5,81
0.492699230801969,0.275,0.325,0.4,0.0,0.195,0.08,0.3836240171266539,0.47708653459523886,0.5,0.76,0,baseline,0.5,82
0.5057258469129169,0.26,0.36,0.38,0.0,0.205,0.055,0.4090459687368003,0.5211947252281363,0.5,0.765,0,baseline,0.5,83
0.4832705201913572,0.345,0.3,0.355,0.0,0.265,0.08,0.3805716618246315,0.47526205311634706,0.5,0.755,0,baseline,0.5,84
0.4788096678657515,0.345,0.29,0.365,0.0,0.225,0.12,0.3728559172564613,0.46581885384143595,0.5,0.705,0,baseline,0.5,85
0.5071474901718769,0.255,0.395,0.35,0.0,0.185,0.07,0.40771722841170216,0.5116509070844907,0.5,0.765,0,baseline,0.5,86
0.5019357186146395,0.27,0.315,0.415,0.0,0.215,0.055,0.3994102881785887,0.5105684012073008,0.5,0.735,0,baseline,0.5,87
0.49171784307251865,0.335,0.39,0.275,0.0,0.265,0.07,0.38510783124737213,0.48715649152426965,0.5,0.695,0,baseline,0.5,88
0.5036357643417926,0.245,0.38,0.375,0.005,0.18,0.06,0.4034291607759799,0.49619239584100755,0.5,0.75,0,baseline,0.5,89
0.49697624175185495,0.3,0.335,0.365,0.0,0.24,0.06,0.39816364287059886,0.5011626339492423,0.5,0.695,0,baseline,0.5,90
0.48577148927009245,0.33,0.29,0.38,0.005,0.255,0.07,0.37781236828602105,0.48191425454473863,0.5,0.715,0,baseline,0.5,91
0.4979787690112303,0.315,0.38,0.305,0.005,0.265,0.045,0.38789692932934017,0.4881313053623074,0.5,0.695,0,baseline,0.5,92
0.48630720934587396,0.34,0.305,0.355,0.0,0.26,0.08,0.3785473219745255,0.4812845307795805,0.5,0.725,0,baseline,0.5,93
0.49229207385685547,0.305,0.34,0.355,0.005,0.23,0.07,0.3969033765573235,0.5035595922382285,0.5,0.725,0,baseline,0.5,94
0.4785649998176717,0.34,0.29,0.37,0.01,0.265,0.065,0.3686010779120022,0.468080263593038,0.5,0.725,0,baseline,0.5,95
0.5003182122768032,0.32,0.355,0.325,0.0,0.255,0.065,0.3915352934516336,0.4943559816472955,0.5,0.735,0,baseline,0.5,96
0.4993342840788714,0.25,0.3,0.45,0.0,0.195,0.055,0.40005168935428126,0.5057534890432982,0.5,0.745,0,baseline,0.5,97
0.4907588874600769,0.33,0.34,0.33,0.01,0.235,0.085,0.3795336339281324,0.4739026874007938,0.5,0.72,0,baseline,0.5,98
0.5080663486676363,0.255,0.385,0.36,0.01,0.195,0.05,0.4045459940169204,0.5189270193038287,0.5,0.755,0,baseline,0.5,99
0.5007008455412059,0.31,0.355,0.335,0.0,0.255,0.055,0.40097588026161884,0.5137677313983552,0.5,0.75,0,baseline,0.5,100
0.4938544230881311,0.285,0.325,0.39,0.0,0.205,0.08,0.389037174859713,0.4919837293247424,0.5,0.76,0,baseline,0.5,101
0.5069827509574177,0.265,0.36,0.375,0.0,0.205,0.06,0.39902279727666906,0.5069277614580447,0.5,0.72,0,baseline,0.5,102
0.4973505984940221,0.31,0.375,0.315,0.0,0.265,0.045,0.3887324347395158,0.49152733200504684,0.5,0.725,0,baseline,0.5,103
0.49381872361454154,0.295,0.325,0.38,0.01,0.205,0.08,0.3910093674149916,0.5010918268671928,0.5,0.715,0,baseline,0.5,104
0.49104507139724535,0.28,0.305,0.415,0.0,0.2,0.08,0.38398303305792203,0.47371746538568155,0.5,0.755,0,baseline,0.5,105
0.49874716769934707,0.28,0.285,0.435,0.0,0.24,0.04,0.4046274611081779,0.5247525606604783,0.5,0.775,0,baseline,0.5,106
