meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,variant,post_labor,run_id
0.3380793166325981,0.745,0.03,0.225,0.02,0.38,0.345,0.20879855382350498,0.4462624285017216,0.95,0.435,1,ubi_pure,0.95,60
0.34479040628244756,0.765,0.065,0.17,0.03,0.385,0.35,0.2180069201875984,0.46992698030906965,0.95,0.435,1,ubi_pure,0.95,61
0.3500901298479944,0.755,0.04,0.205,0.005,0.41,0.34,0.21631669232406536,0.44988556877987695,0.95,0.48,1,ubi_pure,0.95,62
0.34288543711672753,0.76,0.02,0.22,0.025,0.385,0.35,0.2068706949833089,0.45029942256431854,0.95,0.445,1,ubi_pure,0.95,63
0.3512785605406673,0.735,0.035,0.23,0.01,0.41,0.315,0.21978785137514487,0.46255932684401,0.95,0.475,1,ubi_pure,0.95,64
0.35111441738792976,0.72,0.065,0.215,0.02,0.395,0.305,0.2158801675467101,0.4479494216727577,0.95,0.47,1,ubi_pure,0.95,65
0.35014606568054873,0.755,0.02,0.225,0.015,0.445,0.295,0.21375498003755788,0.4621279571913803,0.95,0.495,1,ubi_pure,0.95,66
0.33712099163730314,0.805,0.03,0.165,0.03,0.455,0.32,0.20852549236915915,0.4360286402388755,0.95,0.41,1,ubi_pure,0.95,67
0.3447386841939016,0.76,0.03,0.21,0.03,0.4,0.33,0.21386355528058637,0.4413535723337869,0.95,0.455,1,ubi_pure,0.95,68
0.3399528045011417,0.76,0.015,0.225,0.025,0.39,0.345,0.2052540006963102,0.450468110621755,0.95,0.465,1,ubi_pure,0.95,69
0.34913028322085354,0.77,0.05,0.18,0.015,0.42,0.335,0.21973305255720876,0.45716865249936467,0.95,0.49,1,ubi_pure,0.95,70
0.34827372180698385,0.745,0.045,0.21,0.01,0.41,0.325,0.20870370132475208,0.4381396484106645,0.95,0.47,1,ubi_pure,0.95,71
0.3588603009807215,0.74,0.05,0.21,0.035,0.42,0.285,0.22591896171277326,0.45801774913120286,0.95,0.525,1,ubi_pure,0.95,72
0.34886168770081283,0.73,0.03,0.24,0.015,0.36,0.355,0.21002938480532987,0.44644521043304536,0.95,0.455,1,ubi_pure,0.95,73
0.3447774906938374,0.735,0.04,0.225,0.045,0.385,0.305,0.21300375974447833,0.4767750509903231,0.95,0.495,1,ubi_pure,0.95,74
0.34621417227183726,0.72,0.04,0.24,0.035,0.335,0.35,0.20513314356110857,0.4402676826557905,0.95,0.47,1,ubi_pure,0.95,75
0.3361749409914944,0.825,0.03,0.145,0.025,0.425,0.375,0.1980705829390131,0.43301623864644606,0.95,0.43,1,ubi_pure,0.95,76
0.35891254588070404,0.68,0.05,0.27,0.025,0.37,0.285,0.22812158644021868,0.4612173315228097,0.95,0.54,0,ubi_pure,0.95,77
0.3535626183457907,0.725,0.07,0.205,0.04,0.385,0.3,0.22042946595974094,0.46576449724143687,0.95,0.5,1,ubi_pure,0.95,78
0.3540633770287376,0.69,0.02,0.29,0.005,0.335,0.35,0.21909245659818832,0.4502245859901194,0.95,0.49,0,ubi_pure,0.95,79
0.34379820131540406,0.77,0.03,0.2,0.02,0.43,0.32,0.21343588451078988,0.4506736997369517,0.95,0.465,1,ubi_pure,0.95,80
0.3566647002913733,0.72,0.075,0.205,0.035,0.38,0.305,0.22577396567271527,0.45783109323783966,0.95,0.47,1,ubi_pure,0.95,81
0.35806576744894697,0.695,0.055,0.25,0.0,0.355,0.34,0.22468337349231093,0.46830945919050704,0.95,0.52,0,ubi_pure,0.95,82
0.36038814329559266,0.695,0.06,0.245,0.035,0.38,0.28,0.2262570832684977,0.46516886696485854,0.95,0.52,0,ubi_pure,0.95,83
0.34686394401405407,0.725,0.03,0.245,0.035,0.37,0.32,0.20511601029932236,0.44887772268685866,0.95,0.475,1,ubi_pure,0.95,84
0.3301500084324937,0.8,0.025,0.175,0.035,0.38,0.385,0.1883305808841839,0.4059027805074234,0.95,0.425,1,ubi_pure,0.95,85
0.35645435067094816,0.72,0.035,0.245,0.015,0.415,0.29,0.21513115881812767,0.44528750100269754,0.95,0.535,1,ubi_pure,0.95,86
