meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,ratio,economic_weight,virtual_weight,scenario,post_labor,run_id
0.33175025309828926,0.78,0.025,0.195,0.025,0.395,0.36,0.19618852607990142,0.4357588634322022,0.95,1,3:1,0.675,0.225,baseline,0.95,34
0.3269818412257807,0.795,0.015,0.19,0.03,0.35,0.415,0.18507539401746292,0.4211606448492196,0.95,1,3:1,0.675,0.225,baseline,0.95,35
0.3446499135150007,0.775,0.025,0.2,0.015,0.41,0.35,0.20437562948868532,0.4516383770610213,0.95,1,3:1,0.675,0.225,baseline,0.95,36
0.3237006410003502,0.815,0.015,0.17,0.025,0.36,0.43,0.19409047946057126,0.44516180137775,0.95,1,3:1,0.675,0.225,baseline,0.95,37
0.3368664437104171,0.78,0.035,0.185,0.04,0.415,0.325,0.1900447819943065,0.4291229285411896,0.95,1,3:1,0.675,0.225,baseline,0.95,38
0.3347743647688607,0.78,0.03,0.19,0.03,0.395,0.355,0.20059052116267728,0.4306516630486291,0.95,1,3:1,0.675,0.225,baseline,0.95,39
0.344487534005529,0.75,0.045,0.205,0.005,0.365,0.38,0.205475924391542,0.4425553224985728,0.95,1,3:1,0.675,0.225,baseline,0.95,40
0.3145495730588056,0.845,0.025,0.13,0.02,0.36,0.465,0.16994257533358778,0.40225533303310174,0.95,1,3:1,0.675,0.225,baseline,0.95,41
0.33925622365771746,0.735,0.03,0.235,0.025,0.35,0.36,0.20550200575060087,0.4377498090486581,0.95,1,3:1,0.675,0.225,baseline,0.95,42
0.3304342119910772,0.79,0.03,0.18,0.02,0.42,0.35,0.19333433911870748,0.4323324945215482,0.95,1,3:1,0.675,0.225,baseline,0.95,43
0.3378697211260896,0.785,0.03,0.185,0.025,0.39,0.37,0.19986495467341453,0.4382115324593942,0.95,1,3:1,0.675,0.225,baseline,0.95,44
0.336230304918641,0.765,0.02,0.215,0.03,0.39,0.345,0.19694769955327746,0.43671549409444305,0.95,1,3:1,0.675,0.225,baseline,0.95,45
0.32124658849424237,0.805,0.02,0.175,0.03,0.39,0.385,0.18397963984566024,0.4140369102990927,0.95,1,3:1,0.675,0.225,baseline,0.95,46
0.3076773811651693,0.885,0.02,0.095,0.025,0.42,0.44,0.15900059272191538,0.39118432161492805,0.95,1,3:1,0.675,0.225,baseline,0.95,47
0.31503659620034624,0.8,0.02,0.18,0.04,0.31,0.45,0.17217750825557718,0.40485402972157514,0.95,1,3:1,0.675,0.225,baseline,0.95,48
0.3260926158542016,0.82,0.04,0.14,0.02,0.415,0.385,0.1868558281759501,0.4359242930006407,0.95,1,3:1,0.675,0.225,baseline,0.95,49
0.40790180095989825,0.555,0.12,0.325,0.005,0.375,0.175,0.28875665991410426,0.47134492703281483,0.95,0,3:1,0.675,0.225,ubi_only,0.95,0
0.40190630715797554,0.575,0.13,0.295,0.015,0.36,0.2,0.2856863571497015,0.4793230994161798,0.95,0,3:1,0.675,0.225,ubi_only,0.95,1
0.41400926278665506,0.505,0.1,0.395,0.0,0.325,0.18,0.29012874066243344,0.4687158573080829,0.95,0,3:1,0.675,0.225,ubi_only,0.95,2
0.4172475617188077,0.505,0.095,0.4,0.005,0.35,0.15,0.2952844396822432,0.48635064537058725,0.95,0,3:1,0.675,0.225,ubi_only,0.95,3
0.4106141758009359,0.56,0.135,0.305,0.025,0.375,0.16,0.2892924603908,0.48152861029159133,0.95,0,3:1,0.675,0.225,ubi_only,0.95,4
0.4329900695833551,0.495,0.17,0.335,0.01,0.385,0.1,0.317236449645826,0.5048873327215742,0.95,0,3:1,0.675,0.225,ubi_only,0.95,5
0.39571267603717614,0.605,0.115,0.28,0.005,0.38,0.22,0.2775414541398113,0.4563177687621959,0.95,0,3:1,0.675,0.225,ubi_only,0.95,6
0.41867059967003484,0.49,0.115,0.395,0.0,0.33,0.16,0.2970646270431251,0.477546476502605,0.95,0,3:1,0.675,0.225,ubi_only,0.95,7
0.4075695378186325,0.54,0.115,0.345,0.005,0.385,0.15,0.28942697000591794,0.4672528789846095,0.95,0,3:1,0.675,0.225,ubi_only,0.95,8
0.4050548850967197,0.575,0.125,0.3,0.015,0.385,0.175,0.28480919511253877,0.47028731194971696,0.95,0,3:1,0.675,0.225,ubi_only,0.95,9
0.41502675231453195,0.56,0.125,0.315,0.02,0.4,0.14,0.2923429158756635,0.4708827249298544,0.95,0,3:1,0.675,0.225,ubi_only,0.95,10
0.4008908114050953,0.545,0.07,0.385,0.005,0.355,0.185,0.27638842336553665,0.44448875496062856,0.95,0,3:1,0.675,0.225,ubi_only,0.95,11
0.4281153783245381,0.46,0.14,0.4,0.015,0.315,0.13,0.3103843507432439,0.4953374263960463,0.95,0,3:1,0.675,0.225,ubi_only,0.95,12
0.40450432874397757,0.57,0.1,0.33,0.01,0.41,0.15,0.29269449837872047,0.48132436139593493,0.95,0,3:1,0.675,0.225,ubi_only,0.95,13
0.41073340975901346,0.545,0.095,0.36,0.0,0.385,0.16,0.2885129432374868,0.4701217149819139,0.95,0,3:1,0.675,0.225,ubi_only,0.95,14
0.4136398988879848,0.54,0.16,0.3,0.01,0.38,0.15,0.28923817716001393,0.4531457410669062,0.95,0,3:1,0.675,0.225,ubi_only,0.95,15
0.40601367903661034,0.545,0.1,0.355,0.005,0.365,0.175,0.28958462369679994,0.46247070925411593,0.95,0,3:1,0.675,0.225,ubi_only,0.95,16
0.4163772794679402,0.525,0.13,0.345,0.01,0.35,0.165,0.29555860226737146,0.47169312627863447,0.95,0,3:1,0.675,0.225,ubi_only,0.95,17
0.40856448997817657,0.54,0.11,0.35,0.005,0.38,0.155,0.289283884031243,0.4723141106049862,0.95,0,3:1,0.675,0.225,ubi_only,0.95,18
0.4046777511734127,0.59,0.11,0.3,0.01,0.43,0.15,0.279556389440812,0.44676032644418967,0.95,0,3:1,0.675,0.225,ubi_only,0.95,19
0.4098272786116436,0.54,0.105,0.355,0.01,0.35,0.18,0.29204644642218186,0.48017720908522404,0.95,0,3:1,0.675,0.225,ubi_only,0.95,20
0.40624586688685665,0.54,0.125,0.335,0.015,0.355,0.17,0.29386734958759125,0.48413327864795064,0.95,0,3:1,0.675,0.225,ubi_only,0.95,21
0.41175822317380195,0.54,0.125,0.335,0.005,0.4,0.135,0.29054187291151307,0.4669648797052926,0.95,0,3:1,0.675,0.225,ubi_only,0.95,22
0.4133074009838002,0.53,0.105,0.365,0.0,0.345,0.185,0.29026361067384054,0.4679642699109143,0.95,0,3:1,0.675,0.225,ubi_only,0.95,23
0.4190893623143822,0.5,0.105,0.395,0.005,0.365,0.13,0.29432763151274477,0.47494477218082365,0.95,0,3:1,0.675,0.225,ubi_only,0.95,24
0.4164775018582975,0.495,0.12,0.385,0.025,0.35,0.12,0.29348424096922937,0.4692959705493257,0.95,0,3:1,0.675,0.225,ubi_only,0.95,25
0.4013422363766685,0.58,0.115,0.305,0.01,0.395,0.175,0.2834409838401586,0.45065755428694615,0.95,0,3:1,0.675,0.225,ubi_only,0.95,26
0.39514530203456305,0.58,0.095,0.325,0.0,0.355,0.225,0.27702081757030605,0.44663517752621884,0.95,0,3:1,0.675,0.225,ubi_only,0.95,27
0.40515407890668953,0.57,0.095,0.335,0.005,0.385,0.18,0.28341655345837763,0.4698483932036362,0.95,0,3:1,0.675,0.225,ubi_only,0.95,28
0.42435072737431034,0.51,0.17,0.32,0.015,0.335,0.16,0.307784363353698,0.49802607769266827,0.95,0,3:1,0.675,0.225,ubi_only,0.95,29
0.3896236619855369,0.65,0.07,0.28,0.01,0.475,0.165,0.2753840392764889,0.47331398493660837,0.95,0,3:1,0.675,0.225,ubi_only,0.95,30
0.40205965704025387,0.565,0.105,0.33,0.01,0.385,0.17,0.2759282776131701,0.4466049606234985,0.95,0,3:1,0.675,0.225,ubi_only,0.95,31
0.4179596197566257,0.525,0.09,0.385,0.0,0.385,0.14,0.29916854684985505,0.45749692595313607,0.95,0,3:1,0.675,0.225,ubi_only,0.95,32
0.41141989328962936,0.545,0.13,0.325,0.01,0.375,0.16,0.28653907441446763,0.4647439832293956,0.95,0,3:1,0.675,0.225,ubi_only,0.95,33
0.4148344766750164,0.535,0.09,0.375,0.015,0.405,0.115,0.29902645353242335,0.4776071696188587,0.95,0,3:1,0.675,0.225,ubi_only,0.95,34
0.4080095309305245,0.6,0.13,0.27,0.01,0.455,0.135,0.2880370376013474,0.4633820125171,0.95,0,3:1,0.675,0.225,ubi_only,0.95,35
