speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,ubi_only,45,40,3,0.52,0.4116347845501272,0.95
rapid,ubi_only,15,10,4,0.385,0.45348998692876585,0.95
rapid,ubi_only,25,20,4,0.515,0.4257310144031402,0.95
rapid,ubi_only,45,40,4,0.56,0.40335003901863453,0.95
rapid,ubi_only,15,10,5,0.325,0.47253126628274444,0.95
rapid,ubi_only,25,20,5,0.43,0.4352952939724867,0.95
rapid,ubi_only,45,40,5,0.515,0.4130802539881375,0.95
rapid,ubi_only,15,10,6,0.41,0.4465969198703692,0.95
rapid,ubi_only,25,20,6,0.495,0.42655977248247695,0.95
rapid,ubi_only,45,40,6,0.545,0.41558682762041044,0.95
rapid,ubi_only,15,10,7,0.32,0.47250787269545363,0.95
rapid,ubi_only,25,20,7,0.515,0.42668657942260124,0.95
rapid,ubi_only,45,40,7,0.525,0.4124536585597194,0.95
rapid,ubi_only,15,10,8,0.43,0.43929447802978494,0.95
rapid,ubi_only,25,20,8,0.485,0.4238374944126208,0.95
rapid,ubi_only,45,40,8,0.51,0.42171611033792034,0.95
rapid,ubi_only,15,10,9,0.43,0.44161160722336185,0.95
rapid,ubi_only,25,20,9,0.54,0.41037864294238036,0.95
rapid,ubi_only,45,40,9,0.555,0.40538539200357976,0.95
rapid,ubi_only,15,10,10,0.38,0.45048402759524137,0.95
rapid,ubi_only,25,20,10,0.45,0.42841946132975633,0.95
rapid,ubi_only,45,40,10,0.45,0.431450785349779,0.95
rapid,ubi_only,15,10,11,0.335,0.4647642397739959,0.95
rapid,ubi_only,25,20,11,0.435,0.43825955874641953,0.95
rapid,ubi_only,45,40,11,0.495,0.4224719904862124,0.95
rapid,ubi_only,15,10,12,0.425,0.4451792092488299,0.95
rapid,ubi_only,25,20,12,0.505,0.4206012073633425,0.95
rapid,ubi_only,45,40,12,0.48,0.41982617031031166,0.95
rapid,ubi_only,15,10,13,0.385,0.455982292952319,0.95
rapid,ubi_only,25,20,13,0.495,0.4247992310434854,0.95
rapid,ubi_only,45,40,13,0.575,0.4040187605587961,0.95
rapid,ubi_only,15,10,14,0.405,0.4615877467080543,0.95
rapid,ubi_only,25,20,14,0.465,0.4331059267631101,0.95
rapid,ubi_only,45,40,14,0.49,0.42711113325651034,0.95
rapid,ubi_only,15,10,15,0.405,0.44947458591512024,0.95
rapid,ubi_only,25,20,15,0.48,0.4302636641370373,0.95
rapid,ubi_only,45,40,15,0.545,0.41577173363158065,0.95
rapid,ubi_only,15,10,16,0.35,0.4466618791823083,0.95
rapid,ubi_only,25,20,16,0.475,0.42379035403770005,0.95
rapid,ubi_only,45,40,16,0.615,0.40737652708159944,0.95
rapid,ubi_only,15,10,17,0.335,0.47016850470068206,0.95
rapid,ubi_only,25,20,17,0.385,0.44079527046657263,0.95
rapid,ubi_only,45,40,17,0.525,0.41601210751716594,0.95
rapid,ubi_only,15,10,18,0.38,0.4469129583140354,0.95
rapid,ubi_only,25,20,18,0.485,0.4204188360581436,0.95
rapid,ubi_only,45,40,18,0.51,0.4209851259430268,0.95
rapid,ubi_only,15,10,19,0.41,0.4461955309887412,0.95
rapid,ubi_only,25,20,19,0.535,0.4213707767991896,0.95
rapid,ubi_only,45,40,19,0.5,0.41761776442908316,0.95
rapid,ubi_only,15,10,20,0.395,0.4518304144748413,0.95
rapid,ubi_only,25,20,20,0.495,0.42679016967938965,0.95
rapid,ubi_only,45,40,20,0.44,0.42887040084522576,0.95
rapid,ubi_only,15,10,21,0.395,0.4500261631202558,0.95
rapid,ubi_only,25,20,21,0.475,0.4333281165878124,0.95
rapid,ubi_only,45,40,21,0.46,0.4306973421578874,0.95
rapid,ubi_only,15,10,22,0.365,0.4532897820340871,0.95
rapid,ubi_only,25,20,22,0.46,0.43537264843431794,0.95
rapid,ubi_only,45,40,22,0.49,0.42294006656671884,0.95
rapid,ubi_only,15,10,23,0.34,0.46308119225086986,0.95
rapid,ubi_only,25,20,23,0.435,0.44355742649030416,0.95
rapid,ubi_only,45,40,23,0.455,0.4300330861973135,0.95
rapid,ubi_only,15,10,24,0.42,0.4477656855293884,0.95
rapid,ubi_only,25,20,24,0.52,0.42195585544785463,0.95
rapid,ubi_only,45,40,24,0.535,0.40709590158743325,0.95
rapid,ubi_only,15,10,25,0.28,0.47495253161194256,0.95
rapid,ubi_only,25,20,25,0.41,0.4482315982692765,0.95
rapid,ubi_only,45,40,25,0.485,0.42139611170915375,0.95
rapid,ubi_only,15,10,26,0.35,0.4588424587863813,0.95
rapid,ubi_only,25,20,26,0.415,0.4473090682648255,0.95
rapid,ubi_only,45,40,26,0.49,0.41898952158638736,0.95
rapid,ubi_only,15,10,27,0.435,0.4444543110620895,0.95
rapid,ubi_only,25,20,27,0.52,0.4156033986213781,0.95
rapid,ubi_only,45,40,27,0.525,0.40311651155558015,0.95
rapid,ubi_only,15,10,28,0.385,0.4568818527021182,0.95
rapid,ubi_only,25,20,28,0.465,0.42698976233018043,0.95
rapid,ubi_only,45,40,28,0.55,0.411809266782277,0.95
rapid,ubi_only,15,10,29,0.44,0.44633912611553755,0.95
rapid,ubi_only,25,20,29,0.45,0.4255569380865127,0.95
rapid,ubi_only,45,40,29,0.445,0.43422160495419154,0.95
rapid,ubi_only,15,10,30,0.38,0.4563556616978466,0.95
rapid,ubi_only,25,20,30,0.465,0.4270019859914752,0.95
rapid,ubi_only,45,40,30,0.475,0.4226344457738478,0.95
rapid,ubi_only,15,10,31,0.455,0.43763009445011136,0.95
rapid,ubi_only,25,20,31,0.48,0.4266718510433853,0.95
rapid,ubi_only,45,40,31,0.5,0.41874263058676,0.95
rapid,ubi_only,15,10,32,0.445,0.44367730437617214,0.95
rapid,ubi_only,25,20,32,0.52,0.4214159109066531,0.95
rapid,ubi_only,45,40,32,0.53,0.42093041291374855,0.95
rapid,ubi_only,15,10,33,0.38,0.45918743011972213,0.95
rapid,ubi_only,25,20,33,0.465,0.4349538132823294,0.95
rapid,ubi_only,45,40,33,0.585,0.4066156320633744,0.95
rapid,ubi_only,15,10,34,0.38,0.4555763816303673,0.95
rapid,ubi_only,25,20,34,0.42,0.4469241926229685,0.95
rapid,ubi_only,45,40,34,0.53,0.41431367382497813,0.95
rapid,ubi_only,15,10,35,0.395,0.45172867470820677,0.95
rapid,ubi_only,25,20,35,0.415,0.44806143200373383,0.95
rapid,ubi_only,45,40,35,0.53,0.4124604019593751,0.95
rapid,ubi_only,15,10,36,0.44,0.4446267122635193,0.95
rapid,ubi_only,25,20,36,0.475,0.43058159469366564,0.95
