meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,band_occupancy,sink_collapsed,scenario,post_labor,speed,run_id
0.5071324640774335,0.25,0.37,0.38,0.0,0.195,0.055,0.399868149098257,0.50679897965665,0.4999999999999992,0.715,0,baseline,0.5,gradual,20
0.509935109631154,0.255,0.385,0.36,0.0,0.215,0.04,0.4028015234037619,0.5103314479482435,0.4999999999999992,0.735,0,baseline,0.5,gradual,21
0.5113365468126261,0.22,0.39,0.39,0.005,0.17,0.045,0.3989839869739191,0.4716775399064502,0.4999999999999992,0.79,0,baseline,0.5,gradual,22
0.5176201133293606,0.23,0.37,0.4,0.005,0.175,0.05,0.41012274114328096,0.5001882024759873,0.4999999999999992,0.715,0,baseline,0.5,gradual,23
0.5123478624197183,0.25,0.36,0.39,0.01,0.2,0.04,0.4077103239536719,0.5130227305558351,0.4999999999999992,0.69,0,baseline,0.5,gradual,24
0.5106632212242265,0.205,0.4,0.395,0.0,0.145,0.06,0.4054205652493156,0.4966974646188204,0.4999999999999992,0.77,0,baseline,0.5,gradual,25
0.5063039349673378,0.26,0.36,0.38,0.0,0.2,0.06,0.40055015267737104,0.5027178975188862,0.4999999999999992,0.755,0,baseline,0.5,gradual,26
0.5191662390280125,0.22,0.395,0.385,0.005,0.175,0.04,0.4126314647282429,0.4981818569954152,0.4999999999999992,0.74,0,baseline,0.5,gradual,27
0.5154246846086731,0.245,0.38,0.375,0.005,0.195,0.045,0.4070402490437408,0.5039358479207696,0.4999999999999992,0.75,0,baseline,0.5,gradual,28
0.5145401974556436,0.24,0.435,0.325,0.0,0.205,0.035,0.4004524951394037,0.4865258507457117,0.4999999999999992,0.765,0,baseline,0.5,gradual,29
0.5000409388448439,0.3,0.365,0.335,0.0,0.225,0.075,0.39442016104231997,0.49037912188978194,0.4999999999999992,0.74,0,baseline,0.5,gradual,30
0.49221790281700856,0.29,0.35,0.36,0.005,0.21,0.075,0.3861268883289394,0.46815718369722786,0.4999999999999992,0.73,0,baseline,0.5,gradual,31
0.5208892704602426,0.22,0.405,0.375,0.0,0.175,0.045,0.4143201982697711,0.5048699210296044,0.4999999999999992,0.78,0,baseline,0.5,gradual,32
0.511142153012519,0.28,0.425,0.295,0.0,0.235,0.045,0.4135798141765221,0.5233188108870099,0.4999999999999992,0.725,0,baseline,0.5,gradual,33
0.5086175762256665,0.26,0.35,0.39,0.01,0.23,0.02,0.4022984545070496,0.48665786105603587,0.4999999999999992,0.725,0,baseline,0.5,gradual,34
0.5201394010178106,0.225,0.415,0.36,0.0,0.175,0.05,0.4083091320295462,0.4896050457651733,0.4999999999999992,0.72,0,baseline,0.5,gradual,35
0.5186536271028683,0.195,0.405,0.4,0.0,0.14,0.055,0.4038201065868158,0.4849064403633367,0.4999999999999992,0.755,0,baseline,0.5,gradual,36
0.5078489085673936,0.25,0.355,0.395,0.01,0.205,0.035,0.3999321836338282,0.47946716621488294,0.4999999999999992,0.78,0,baseline,0.5,gradual,37
0.5000013290253754,0.275,0.365,0.36,0.005,0.2,0.07,0.3907875375611697,0.4717010109683018,0.4999999999999992,0.705,0,baseline,0.5,gradual,38
0.5169813930836665,0.27,0.4,0.33,0.0,0.19,0.08,0.41180009845646337,0.49259264404754005,0.4999999999999992,0.67,0,baseline,0.5,gradual,39
0.5194439146740122,0.235,0.365,0.4,0.005,0.195,0.035,0.4106157318598895,0.5026431173834324,0.4999999999999992,0.73,0,baseline,0.5,gradual,40
0.513522820185422,0.27,0.385,0.345,0.005,0.2,0.065,0.42173214767767286,0.5318335937535055,0.4999999999999992,0.675,0,baseline,0.5,gradual,41
0.49216239025783237,0.315,0.335,0.35,0.0,0.255,0.06,0.3807898226417104,0.47741825598768195,0.4999999999999992,0.7,0,baseline,0.5,gradual,42
0.5160058653746491,0.25,0.395,0.355,0.0,0.225,0.025,0.4098580312247535,0.5009369972012169,0.4999999999999992,0.745,0,baseline,0.5,gradual,43
0.5192609752989213,0.225,0.41,0.365,0.0,0.185,0.04,0.41287333477389465,0.5244159581207452,0.4999999999999992,0.72,0,baseline,0.5,gradual,44
0.5142835208018016,0.25,0.435,0.315,0.0,0.2,0.05,0.40417169922893675,0.5043345021263955,0.4999999999999992,0.73,0,baseline,0.5,gradual,45
0.5053730974941355,0.265,0.39,0.345,0.005,0.215,0.045,0.38824682706583713,0.4729507016101695,0.4999999999999992,0.79,0,baseline,0.5,gradual,46
0.5121014204393944,0.275,0.4,0.325,0.0,0.225,0.05,0.3999188179538583,0.48943417134379613,0.4999999999999992,0.72,0,baseline,0.5,gradual,47
0.5215504712907364,0.24,0.46,0.3,0.005,0.18,0.055,0.41727363059763306,0.515614363235477,0.4999999999999992,0.7,0,baseline,0.5,gradual,48
0.5210467190882092,0.24,0.42,0.34,0.0,0.18,0.06,0.4085376670001015,0.49716045730944136,0.4999999999999992,0.69,0,baseline,0.5,gradual,49
0.505892170272378,0.295,0.41,0.295,0.0,0.23,0.065,0.3919477695492752,0.4749539796327291,0.4999999999999992,0.755,0,baseline,0.5,gradual,50
0.5170668198014465,0.22,0.415,0.365,0.0,0.17,0.05,0.40935983963738787,0.5030683248283933,0.4999999999999992,0.72,0,baseline,0.5,gradual,51
0.5218631528116392,0.24,0.425,0.335,0.0,0.19,0.05,0.4179607261712117,0.5100042826062609,0.4999999999999992,0.72,0,baseline,0.5,gradual,52
0.5015606007886803,0.3,0.365,0.335,0.01,0.25,0.04,0.3876519960654739,0.48060773827676173,0.4999999999999992,0.74,0,baseline,0.5,gradual,53
0.514701950638702,0.26,0.405,0.335,0.0,0.24,0.02,0.4101853638394362,0.5155214359179398,0.4999999999999992,0.755,0,baseline,0.5,gradual,54
0.5074880239445134,0.295,0.385,0.32,0.0,0.235,0.06,0.3973870094030613,0.48132117048094547,0.4999999999999992,0.695,0,baseline,0.5,gradual,55
0.5061423735127581,0.265,0.385,0.35,0.0,0.185,0.08,0.4031290407130738,0.5017689187514421,0.4999999999999992,0.715,0,baseline,0.5,gradual,56
0.49727516736461796,0.28,0.365,0.355,0.0,0.22,0.06,0.38763945055750965,0.4681114776390178,0.4999999999999992,0.725,0,baseline,0.5,gradual,57
0.4980000889372714,0.29,0.34,0.37,0.0,0.22,0.07,0.3910628701502905,0.4881291824432114,0.4999999999999992,0.695,0,baseline,0.5,gradual,58
0.5304441241845516,0.235,0.475,0.29,0.0,0.19,0.045,0.42313246661933407,0.5116235654772785,0.4999999999999992,0.7,0,baseline,0.5,gradual,59
0.5095571010878919,0.225,0.355,0.42,0.0,0.175,0.05,0.40593585006484956,0.5125214785763901,0.4999999999999992,0.745,0,baseline,0.5,gradual,60
0.4927722455031457,0.29,0.335,0.375,0.01,0.21,0.07,0.3742379208659709,0.46637530491538426,0.4999999999999992,0.74,0,baseline,0.5,gradual,61
0.5170088537759567,0.195,0.38,0.425,0.005,0.16,0.03,0.40853347776576165,0.4964073018106931,0.4999999999999992,0.795,0,baseline,0.5,gradual,62
0.5109687410313863,0.25,0.38,0.37,0.0,0.195,0.055,0.4058143132222403,0.5064270821983524,0.4999999999999992,0.745,0,baseline,0.5,gradual,63
0.4963016174216871,0.29,0.345,0.365,0.005,0.225,0.06,0.38786069301030934,0.4703466307055814,0.4999999999999992,0.745,0,baseline,0.5,gradual,64
0.5043361622895715,0.28,0.355,0.365,0.0,0.25,0.03,0.40030665948847116,0.49210705140809696,0.4999999999999992,0.755,0,baseline,0.5,gradual,65
0.5006233227717228,0.3,0.365,0.335,0.0,0.24,0.06,0.39024170563051136,0.48564793606477336,0.4999999999999992,0.695,0,baseline,0.5,gradual,66
0.5103302168929207,0.24,0.385,0.375,0.005,0.19,0.045,0.3989550655977978,0.4996122994561729,0.4999999999999992,0.76,0,baseline,0.5,gradual,67
0.5148300553820581,0.22,0.4,0.38,0.0,0.18,0.04,0.4005028195563496,0.49435533918927815,0.4999999999999992,0.73,0,baseline,0.5,gradual,68
0.5080911030859565,0.245,0.355,0.4,0.005,0.19,0.05,0.4025798421284719,0.4950206688948298,0.4999999999999992,0.75,0,baseline,0.5,gradual,69
0.5235839682522566,0.235,0.43,0.335,0.0,0.19,0.045,0.41680004823747857,0.49953130285633146,0.4999999999999992,0.74,0,baseline,0.5,gradual,70
0.4997508049576184,0.265,0.36,0.375,0.0,0.215,0.05,0.39299866933878674,0.48928241196009237,0.4999999999999992,0.715,0,baseline,0.5,gradual,71
