meaning_index,sink_index,productive_frac,beautiful_one_frac,aggressor_frac,withdrawn_frac,collapsed_frac,birth_intention,social_trust,post_labor_current,sink_collapsed,scenario,post_labor,virtual_world_quality,run_id
0.5964356407796007,0.0,0.795,0.205,0.0,0.0,0.0,0.5031056785494676,0.5888050559147363,0.8,0,full_bundle,0.8,0.6,53
0.5947007170350628,0.0,0.765,0.235,0.0,0.0,0.0,0.4993329353089247,0.589620610889542,0.8,0,full_bundle,0.8,0.6,54
0.5960634604448296,0.0,0.84,0.16,0.0,0.0,0.0,0.5014951497263934,0.5930959107488419,0.8,0,full_bundle,0.8,0.6,55
0.5956004586362819,0.0,0.8,0.2,0.0,0.0,0.0,0.5019313310602991,0.5910766359339829,0.8,0,full_bundle,0.8,0.6,56
0.594843551749819,0.0,0.8,0.2,0.0,0.0,0.0,0.5016344767829611,0.5920813581599836,0.8,0,full_bundle,0.8,0.6,57
0.5951867741660081,0.0,0.765,0.235,0.0,0.0,0.0,0.5007614461177516,0.5899658179976344,0.8,0,full_bundle,0.8,0.6,58
0.5937683537186631,0.0,0.775,0.225,0.0,0.0,0.0,0.4995887720123166,0.5884565021040422,0.8,0,full_bundle,0.8,0.6,59
0.595720186505145,0.0,0.795,0.205,0.0,0.0,0.0,0.4996482817989545,0.5872546136182453,0.8,0,full_bundle,0.8,0.6,60
0.5947668540054749,0.0,0.785,0.215,0.0,0.0,0.0,0.4989893348078915,0.5862464534728673,0.8,0,full_bundle,0.8,0.6,61
0.5970978281537523,0.0,0.815,0.185,0.0,0.0,0.0,0.5014093128528614,0.5833688815116959,0.8,0,full_bundle,0.8,0.6,62
0.5938872219400478,0.0,0.83,0.17,0.0,0.0,0.0,0.4981443912920905,0.5874271860286417,0.8,0,full_bundle,0.8,0.6,63
0.5939230702721521,0.0,0.805,0.195,0.0,0.0,0.0,0.5005812064329375,0.5905264286485423,0.8,0,full_bundle,0.8,0.6,64
0.5978873238965081,0.0,0.8,0.2,0.0,0.0,0.0,0.5046633518507758,0.5974735907865892,0.8,0,full_bundle,0.8,0.6,65
0.6001565237984762,0.0,0.825,0.175,0.0,0.0,0.0,0.5084822160364689,0.6010164414060091,0.8,0,full_bundle,0.8,0.6,66
0.598623046126345,0.0,0.8,0.2,0.0,0.0,0.0,0.5041071720595746,0.5941818866485501,0.8,0,full_bundle,0.8,0.6,67
0.5969404004050497,0.0,0.815,0.185,0.0,0.0,0.0,0.5035997013997662,0.5944051053312714,0.8,0,full_bundle,0.8,0.6,68
0.5933145794102199,0.0,0.795,0.205,0.0,0.0,0.0,0.4970005833211493,0.5835228948284,0.8,0,full_bundle,0.8,0.6,69
0.5969731694586652,0.0,0.815,0.185,0.0,0.0,0.0,0.5034137181049185,0.5974499638167662,0.8,0,full_bundle,0.8,0.6,70
0.5974990828870284,0.0,0.815,0.185,0.0,0.0,0.0,0.5013456377742004,0.5907638647105131,0.8,0,full_bundle,0.8,0.6,71
0.5960839329394532,0.0,0.83,0.17,0.0,0.0,0.0,0.5028346320407816,0.5948941654130843,0.8,0,full_bundle,0.8,0.6,72
0.5975690335020761,0.0,0.835,0.165,0.0,0.0,0.0,0.503487662652661,0.5905480383848842,0.8,0,full_bundle,0.8,0.6,73
0.5937734503644733,0.0,0.835,0.165,0.0,0.0,0.0,0.5000008834521867,0.5890115902017476,0.8,0,full_bundle,0.8,0.6,74
0.59684793801714,0.0,0.825,0.175,0.0,0.0,0.0,0.5037445521585672,0.5927248267910906,0.8,0,full_bundle,0.8,0.6,75
0.5963895768324923,0.0,0.81,0.19,0.0,0.0,0.0,0.5028879092232732,0.5928301422945915,0.8,0,full_bundle,0.8,0.6,76
0.593587669758143,0.0,0.815,0.185,0.0,0.0,0.0,0.4982255846500716,0.5862878763542692,0.8,0,full_bundle,0.8,0.6,77
0.5956138789865343,0.0,0.78,0.22,0.0,0.0,0.0,0.502084419199917,0.5941272220994688,0.8,0,full_bundle,0.8,0.6,78
0.5917988748484387,0.0,0.785,0.215,0.0,0.0,0.0,0.49565757265604465,0.5828822040690596,0.8,0,full_bundle,0.8,0.6,79
0.5976256956712559,0.0,0.825,0.175,0.0,0.0,0.0,0.503226141270709,0.5910588552673572,0.8,0,full_bundle,0.8,0.6,80
0.5966188092795838,0.0,0.795,0.205,0.0,0.0,0.0,0.5017173696918418,0.5906258179541128,0.8,0,full_bundle,0.8,0.6,81
0.5945272366816783,0.0,0.785,0.215,0.0,0.0,0.0,0.4993621043633825,0.5911654634946618,0.8,0,full_bundle,0.8,0.6,82
0.5974757003973746,0.0,0.835,0.165,0.0,0.0,0.0,0.5046557086500167,0.597066096377924,0.8,0,full_bundle,0.8,0.6,83
0.5973820122288536,0.0,0.815,0.185,0.0,0.0,0.0,0.502706769286539,0.593209146325045,0.8,0,full_bundle,0.8,0.6,84
0.5968403735773358,0.0,0.84,0.16,0.0,0.0,0.0,0.5011011580696098,0.5872775747801146,0.8,0,full_bundle,0.8,0.6,85
0.5974578040621842,0.0,0.83,0.17,0.0,0.0,0.0,0.5039804952902606,0.5982450439763736,0.8,0,full_bundle,0.8,0.6,86
0.594659813505275,0.0,0.77,0.23,0.0,0.0,0.0,0.5004061269374528,0.5915348407758889,0.8,0,full_bundle,0.8,0.6,87
0.5935200606962149,0.0,0.78,0.22,0.0,0.0,0.0,0.4985435425098899,0.5861113939095882,0.8,0,full_bundle,0.8,0.6,88
0.597351152540952,0.0,0.83,0.17,0.0,0.0,0.0,0.5022254365201032,0.5909448701497467,0.8,0,full_bundle,0.8,0.6,89
0.5921235902642389,0.0,0.775,0.225,0.0,0.0,0.0,0.4972759940464185,0.5866826618289793,0.8,0,full_bundle,0.8,0.6,90
0.5968693488718647,0.0,0.805,0.195,0.0,0.0,0.0,0.5019854451770905,0.5926369489011042,0.8,0,full_bundle,0.8,0.6,91
0.594972243637886,0.0,0.805,0.195,0.0,0.0,0.0,0.49876157072786365,0.5810243726106441,0.8,0,full_bundle,0.8,0.6,92
0.5963297534850887,0.0,0.805,0.195,0.0,0.0,0.0,0.5048675402989252,0.5957774259784133,0.8,0,full_bundle,0.8,0.6,93
0.5942254898060099,0.0,0.795,0.205,0.0,0.0,0.0,0.5014283521719173,0.5940394644565355,0.8,0,full_bundle,0.8,0.6,94
0.5940831693717118,0.0,0.765,0.235,0.0,0.0,0.0,0.49993111022559383,0.5893685595856071,0.8,0,full_bundle,0.8,0.6,95
