horizon,scenario,post_labor,run_id,sink_index,meaning_index
120,baseline,0.5,47,0.265,0.5060070713418228
160,baseline,0.5,47,0.28,0.5062434816361846
240,baseline,0.5,47,0.33,0.48964304098762496
80,baseline,0.5,48,0.275,0.5062814360493285
120,baseline,0.5,48,0.275,0.49298132495106345
160,baseline,0.5,48,0.3,0.49267231992622557
240,baseline,0.5,48,0.29,0.4886438809171231
80,baseline,0.5,49,0.245,0.5064360024203559
120,baseline,0.5,49,0.28,0.49026904175227054
160,baseline,0.5,49,0.285,0.49392858474307283
240,baseline,0.5,49,0.3,0.492939634637332
80,ubi_only,0.5,0,0.135,0.5375390451114113
120,ubi_only,0.5,0,0.12,0.549137872112076
160,ubi_only,0.5,0,0.13,0.5436656353039052
240,ubi_only,0.5,0,0.155,0.5466480582208617
80,ubi_only,0.5,1,0.165,0.541402183476078
120,ubi_only,0.5,1,0.1,0.5707116639217289
160,ubi_only,0.5,1,0.145,0.5375011114152166
240,ubi_only,0.5,1,0.175,0.5401713423964074
80,ubi_only,0.5,2,0.13,0.5464192741755717
120,ubi_only,0.5,2,0.145,0.5508753439850219
160,ubi_only,0.5,2,0.14,0.5536554076955751
240,ubi_only,0.5,2,0.185,0.5402609308176225
80,ubi_only,0.5,3,0.165,0.5435048825954841
120,ubi_only,0.5,3,0.135,0.5538194770475281
160,ubi_only,0.5,3,0.17,0.5428226228830288
240,ubi_only,0.5,3,0.12,0.5540892074915297
80,ubi_only,0.5,4,0.16,0.5409679151996925
120,ubi_only,0.5,4,0.195,0.5363913755857586
160,ubi_only,0.5,4,0.2,0.5371560572681716
240,ubi_only,0.5,4,0.18,0.529205839550575
80,ubi_only,0.5,5,0.165,0.5586102017822817
120,ubi_only,0.5,5,0.12,0.5475882893022371
160,ubi_only,0.5,5,0.16,0.5429830607849495
240,ubi_only,0.5,5,0.14,0.5446372184921909
80,ubi_only,0.5,6,0.18,0.5396611593743031
120,ubi_only,0.5,6,0.185,0.5477788174339397
160,ubi_only,0.5,6,0.19,0.5371048763877794
