UserId,Reputation,log_rep,PreAnsCount,log_pre_ans,tenure_years,AnsCount,z_comp,z_stat,z_rel,dominant_type,type_margin,active_months,post_engage,exit_K3,dur_K3,exit_K6,dur_K6,exit_K9,dur_K9,outcome3
858991,277,5.627621113690637,5,1.791759469228055,11.356605065023956,5,-0.9693567697016763,0.5013232492069071,0.2505055661700244,status,0.2508176830368827,0.0,0,1,0.0,1,0.0,1,0.0,exit
862029,133,4.897839799950911,6,1.9459101490553132,11.351129363449692,6,-0.4291275048560995,-0.4712554113659485,-0.32653428509824317,relatedness,0.10259321975785635,0.0,0,1,0.0,1,0.0,1,0.0,exit
867511,101,4.624972813284271,5,1.791759469228055,11.342915811088295,5,-0.9693567697016763,-0.3323132208941974,-0.19418569535781482,relatedness,0.13812752553638258,0.0,0,1,0.0,1,0.0,1,0.0,exit
869013,136,4.919980925828125,6,1.9459101490553132,11.340177960301164,6,0.24616211499808333,-0.4712554113659485,-0.24712513125398616,competence,0.4932872462520695,0.0,0,1,0.0,1,0.0,1,0.0,exit
875480,379,5.940171252720432,14,2.70805020110221,11.329226557152635,14,-0.9114778121418894,1.2158664131893677,-0.2962831788718595,status,1.5121495920612271,0.0,0,1,0.0,1,0.0,1,0.0,exit
877552,411,6.021023349349527,5,1.791759469228055,11.326488706365502,5,-1.7797026928348494,2.1685961894091164,-0.2894766799709232,status,2.4580728693800395,0.0,0,1,0.0,1,0.0,1,0.0,exit
885913,343,5.840641657373398,9,2.302585092994046,11.31006160164271,9,0.9214476831226504,-1.165949690995302,-0.19418569535781482,competence,1.115633378480465,0.0,0,1,0.0,1,0.0,1,0.0,exit
897391,455,6.1224928095143865,16,2.833213344056216,11.290896646132786,16,-0.007070985981033261,-0.12390410336892137,0.07720020503197975,relatedness,0.084271191013013,0.0,1,1,0.0,1,0.0,1,0.0,migration
899047,131,4.882801922586371,5,1.791759469228055,11.288158795345653,5,-1.7797026928348494,2.1685961894091164,-0.321240341508626,status,2.489836530917742,0.0,0,1,0.0,1,0.0,1,0.0,exit
903280,325,5.786897381366708,7,2.0794415416798357,11.279945242984258,7,0.535569057985865,-1.165949690995302,-0.2622506843671779,competence,0.7978197423530429,0.0,1,1,0.0,1,0.0,1,0.0,migration
904876,381,5.945420608606575,6,1.9459101490553132,11.277207392197125,6,0.24616211499808333,0.22344303644575528,-0.0883068235654721,competence,0.022719078552328048,0.0,5,1,0.0,1,0.0,1,0.0,migration
911917,295,5.69035945432406,11,2.4849066497880004,11.266255989048597,11,-0.6746866299431449,0.3497514662131242,-0.2374997792728641,status,0.5872512454859883,0.0,0,1,0.0,1,0.0,1,0.0,exit
915552,373,5.924255797414532,5,1.791759469228055,11.260780287474333,5,-1.7797026928348494,1.3349597193080114,-0.321240341508626,status,1.6562000608166374,0.0,1,1,0.0,1,0.0,1,0.0,migration
929122,437,6.082218910376446,10,2.3978952727983707,11.236139630390143,10,-0.15901084656850312,0.0845050141563547,-0.22594935689551757,status,0.2435158607248578,0.0,1,1,0.0,1,0.0,1,0.0,migration
934804,417,6.035481432524756,6,1.9459101490553132,11.227926078028748,6,1.5967373029768333,-1.165949690995302,0.017572048226870498,competence,1.5791652547499628,4.106438896189225,1,1,4.106438896189225,1,4.106438896189225,0,11.990801576872535,migration
