speed,scenario,step,steps_after_target,run_id,sink_index,meaning_index,post_labor_current
rapid,baseline,15,10,43,0.695,0.3692426414870369,0.95
rapid,baseline,25,20,43,0.76,0.34007514410384637,0.95
rapid,baseline,45,40,43,0.79,0.33944936719702695,0.95
rapid,baseline,15,10,44,0.595,0.3968288992278698,0.95
rapid,baseline,25,20,44,0.755,0.34804051491999344,0.95
rapid,baseline,45,40,44,0.815,0.32525779926476966,0.95
rapid,baseline,15,10,45,0.67,0.37985390166001737,0.95
rapid,baseline,25,20,45,0.68,0.3583836823498434,0.95
rapid,baseline,45,40,45,0.76,0.3381734789914366,0.95
rapid,baseline,15,10,46,0.665,0.38234097669975187,0.95
rapid,baseline,25,20,46,0.72,0.3506692231933261,0.95
rapid,baseline,45,40,46,0.8,0.34592209762588455,0.95
rapid,baseline,15,10,47,0.66,0.37109632372849094,0.95
rapid,baseline,25,20,47,0.72,0.35025730484565976,0.95
rapid,baseline,45,40,47,0.765,0.3342945714912593,0.95
rapid,baseline,15,10,48,0.61,0.38594230359581816,0.95
rapid,baseline,25,20,48,0.71,0.3563892991112696,0.95
rapid,baseline,45,40,48,0.755,0.3381594027226073,0.95
rapid,baseline,15,10,49,0.625,0.37705966482147896,0.95
rapid,baseline,25,20,49,0.76,0.34303892540235886,0.95
rapid,baseline,45,40,49,0.745,0.3450834539536406,0.95
rapid,ubi_only,15,10,0,0.65,0.3798556462453877,0.95
rapid,ubi_only,25,20,0,0.695,0.3560267100524919,0.95
rapid,ubi_only,45,40,0,0.73,0.36139255212782295,0.95
rapid,ubi_only,15,10,1,0.58,0.4000108495379092,0.95
rapid,ubi_only,25,20,1,0.715,0.3550924468668063,0.95
rapid,ubi_only,45,40,1,0.715,0.3442100286764902,0.95
rapid,ubi_only,15,10,2,0.585,0.39038745890127,0.95
rapid,ubi_only,25,20,2,0.64,0.3707275016204376,0.95
rapid,ubi_only,45,40,2,0.7,0.35606348018675377,0.95
rapid,ubi_only,15,10,3,0.66,0.3825151222392373,0.95
rapid,ubi_only,25,20,3,0.695,0.36541949423025016,0.95
rapid,ubi_only,45,40,3,0.63,0.3762873489106224,0.95
rapid,ubi_only,15,10,4,0.555,0.4087953869669969,0.95
rapid,ubi_only,25,20,4,0.685,0.364609440452529,0.95
rapid,ubi_only,45,40,4,0.775,0.3400126671379418,0.95
rapid,ubi_only,15,10,5,0.57,0.396877009083767,0.95
rapid,ubi_only,25,20,5,0.71,0.36667404601772047,0.95
rapid,ubi_only,45,40,5,0.75,0.34915672292423494,0.95
rapid,ubi_only,15,10,6,0.565,0.40142841025256426,0.95
rapid,ubi_only,25,20,6,0.685,0.36442735056357206,0.95
rapid,ubi_only,45,40,6,0.77,0.33859303845513544,0.95
rapid,ubi_only,15,10,7,0.62,0.3866814062940799,0.95
rapid,ubi_only,25,20,7,0.705,0.36572354360544423,0.95
rapid,ubi_only,45,40,7,0.725,0.35468701129936325,0.95
rapid,ubi_only,15,10,8,0.57,0.3965232821137426,0.95
rapid,ubi_only,25,20,8,0.715,0.3617130788428283,0.95
rapid,ubi_only,45,40,8,0.775,0.3389593738486198,0.95
rapid,ubi_only,15,10,9,0.625,0.3844393576879756,0.95
rapid,ubi_only,25,20,9,0.72,0.35559302047722513,0.95
rapid,ubi_only,45,40,9,0.76,0.33551261216528133,0.95
rapid,ubi_only,15,10,10,0.625,0.38912764137485384,0.95
rapid,ubi_only,25,20,10,0.685,0.3690942239118058,0.95
rapid,ubi_only,45,40,10,0.75,0.34928878411816805,0.95
rapid,ubi_only,15,10,11,0.545,0.3982520222407649,0.95
rapid,ubi_only,25,20,11,0.705,0.36118013819553935,0.95
rapid,ubi_only,45,40,11,0.735,0.34602112225323195,0.95
rapid,ubi_only,15,10,12,0.685,0.37729223619540464,0.95
rapid,ubi_only,25,20,12,0.705,0.37112785292137007,0.95
rapid,ubi_only,45,40,12,0.715,0.3521144952058504,0.95
rapid,ubi_only,15,10,13,0.535,0.4020038904421152,0.95
rapid,ubi_only,25,20,13,0.69,0.36338334994609717,0.95
rapid,ubi_only,45,40,13,0.72,0.3597360925086208,0.95
rapid,ubi_only,15,10,14,0.595,0.39629393456506556,0.95
rapid,ubi_only,25,20,14,0.655,0.3751127085438426,0.95
rapid,ubi_only,45,40,14,0.695,0.3534873858034537,0.95
rapid,ubi_only,15,10,15,0.575,0.4020039671163654,0.95
rapid,ubi_only,25,20,15,0.65,0.3808515782445582,0.95
rapid,ubi_only,45,40,15,0.77,0.34187809047737433,0.95
rapid,ubi_only,15,10,16,0.595,0.3896996839782775,0.95
rapid,ubi_only,25,20,16,0.71,0.35724395539854653,0.95
rapid,ubi_only,45,40,16,0.695,0.3596973015709314,0.95
rapid,ubi_only,15,10,17,0.63,0.37945801802680296,0.95
rapid,ubi_only,25,20,17,0.76,0.3462692702570185,0.95
rapid,ubi_only,45,40,17,0.75,0.35318205169508465,0.95
rapid,ubi_only,15,10,18,0.59,0.3914382002555449,0.95
rapid,ubi_only,25,20,18,0.735,0.3520099726569206,0.95
rapid,ubi_only,45,40,18,0.725,0.3537436904923442,0.95
rapid,ubi_only,15,10,19,0.595,0.40099558323305784,0.95
rapid,ubi_only,25,20,19,0.685,0.36396548383985694,0.95
rapid,ubi_only,45,40,19,0.705,0.35351499254333535,0.95
